Pmax,Survial,SE,LCI,UCI,Sex
0.009,0.994387912,0.010499863,0.815999041,0.999858764,Male
0.00908,0.993965103,0.011119523,0.813185587,0.999839562,Male
0.00916,0.993510647,0.011772668,0.810324554,0.999817767,Male
0.00924,0.993022209,0.012460797,0.807414669,0.999793033,Male
0.00932,0.992497284,0.013185443,0.804454592,0.999764966,Male
0.0094,0.991933192,0.01394817,0.801442909,0.999733124,Male
0.00948,0.991327059,0.014750567,0.798378127,0.999697003,Male
0.00956,0.99067581,0.015594245,0.795258667,0.999656036,Male
0.00964,0.989976153,0.016480831,0.792082854,0.999609582,Male
0.00972,0.989224567,0.017411958,0.788848918,0.999556914,Male
0.0098,0.988417287,0.018389264,0.785554974,0.999497215,Male
0.00988,0.987550288,0.019414376,0.782199024,0.99942956,Male
0.00996,0.98661927,0.020488908,0.778778938,0.999352906,Male
0.01004,0.985619642,0.021614444,0.775292451,0.999266078,Male
0.01012,0.984546505,0.022792527,0.771737143,0.999167751,Male
0.0102,0.983394634,0.024024651,0.768110434,0.999056431,Male
0.01028,0.982158461,0.025312239,0.764409564,0.99893044,Male
0.01036,0.980832056,0.026656632,0.760631578,0.998787889,Male
0.01044,0.979409108,0.028059069,0.756773311,0.998626655,Male
0.01052,0.977882909,0.029520671,0.752831367,0.998444355,Male
0.0106,0.976246331,0.031042418,0.7488021,0.998238317,Male
0.01068,0.974491812,0.032625132,0.744681587,0.998005545,Male
0.01076,0.972611334,0.03426945,0.740465608,0.997742688,Male
0.01084,0.97059641,0.035975804,0.736149617,0.997445999,Male
0.01092,0.968438062,0.037744398,0.731728708,0.997111295,Male
0.011,0.966126811,0.039575185,0.727197587,0.996733916,Male
0.01108,0.963652662,0.04146784,0.722550533,0.996308674,Male
0.01116,0.961005092,0.04342174,0.717781357,0.995829808,Male
0.01124,0.958173041,0.045435945,0.712883364,0.995290933,Male
0.01132,0.955144909,0.047509175,0.707849299,0.994684986,Male
0.0114,0.951908554,0.049639801,0.702671304,0.994004177,Male
0.01148,0.948451293,0.051825828,0.697340854,0.993239934,Male
0.01156,0.944759916,0.054064893,0.691848707,0.992382856,Male
0.01164,0.940820694,0.056354269,0.686184834,0.991422671,Male
0.01172,0.936619408,0.058690872,0.680338358,0.990348193,Male
0.0118,0.932141374,0.061071287,0.67429748,0.989147297,Male
0.01188,0.927371488,0.063491797,0.66804941,0.987806904,Male
0.01196,0.922294269,0.065948437,0.661580295,0.986312985,Male
0.01204,0.916893926,0.068437049,0.654875145,0.984650587,Male
0.01212,0.911154427,0.070953372,0.647917768,0.982803888,Male
0.0122,0.905059588,0.073493135,0.64069071,0.980756283,Male
0.01228,0.898593175,0.076052176,0.633175209,0.978490516,Male
0.01236,0.891739016,0.078626583,0.62535116,0.975988857,Male
0.01244,0.884481136,0.081212846,0.617197123,0.97323333,Male
0.01252,0.876803904,0.083808027,0.608690348,0.970206004,Male
0.0126,0.8686922,0.086409944,0.599806863,0.966889345,Male
0.01268,0.860131591,0.089017356,0.590521621,0.963266627,Male
0.01276,0.851108532,0.091630143,0.580808723,0.95932241,Male
0.01284,0.841610574,0.094249478,0.570641745,0.955043067,Male
0.01292,0.831626592,0.096877961,0.559994185,0.950417351,Male
0.013,0.821147018,0.099519715,0.54884004,0.945436985,Male
0.01308,0.810164083,0.102180417,0.537154547,0.94009724,Male
0.01316,0.79867207,0.104867245,0.524915093,0.934397476,Male
0.01324,0.786667558,0.107588735,0.512102294,0.928341603,Male
0.01332,0.77414967,0.110354512,0.498701242,0.921938421,Male
0.0134,0.761120304,0.113174908,0.484702893,0.9152018,Male
0.01348,0.747584356,0.116060449,0.470105547,0.908150662,Male
0.01356,0.733549913,0.119021224,0.454916351,0.900808747,Male
0.01364,0.719028424,0.122066166,0.439152732,0.893204152,Male
0.01372,0.704034829,0.125202259,0.422843647,0.885368653,Male
0.0138,0.688587654,0.128433724,0.406030528,0.877336847,Male
0.01388,0.67270905,0.131761248,0.388767785,0.869145156,Male
0.01396,0.656424783,0.135181287,0.371122773,0.860830766,Male
0.01404,0.63976417,0.138685517,0.353175131,0.852430568,Male
0.01412,0.622759946,0.142260473,0.335015475,0.843980163,Male
0.0142,0.605448078,0.145887411,0.316743449,0.835513004,Male
0.01428,0.587867512,0.149542414,0.298465236,0.827059703,Male
0.01436,0.570059864,0.153196736,0.280290646,0.818647535,Male
0.01444,0.552069058,0.156817381,0.262329977,0.810300138,Male
0.01452,0.533940908,0.160367875,0.244690822,0.802037412,Male
0.0146,0.515722667,0.163809196,0.227475033,0.79387556,Male
0.01468,0.497462541,0.167100816,0.210776028,0.785827277,Male
0.01476,0.479209182,0.17020179,0.19467656,0.777902024,Male
0.01484,0.461011167,0.173071867,0.179247062,0.770106362,Male
0.01492,0.44291649,0.175672548,0.164544603,0.762444321,Male
0.015,0.42497205,0.177968065,0.150612453,0.754917773,Male
0.01508,0.407223181,0.179926254,0.137480204,0.747526792,Male
0.01516,0.389713204,0.181519273,0.125164377,0.740269991,Male
0.01524,0.372483029,0.182724173,0.113669414,0.733144826,Male
0.01532,0.355570802,0.183523294,0.102988948,0.726147866,Male
0.0154,0.339011615,0.183904501,0.093107252,0.719275021,Male
0.01548,0.322837269,0.183861247,0.084000765,0.712521736,Male
0.01556,0.307076104,0.18339249,0.075639624,0.705883159,Male
0.01564,0.291752888,0.18250247,0.067989132,0.699354265,Male
0.01572,0.276888762,0.181200377,0.061011117,0.692929967,Male
0.0158,0.262501249,0.179499911,0.05466515,0.686605198,Male
0.01588,0.248604309,0.177418782,0.048909604,0.680374976,Male
0.01596,0.235208442,0.174978152,0.043702557,0.674234449,Male
0.01604,0.222320829,0.172202056,0.039002531,0.668178935,Male
0.01612,0.209945513,0.169116803,0.034769076,0.662203944,Male
0.0162,0.198083598,0.165750397,0.030963228,0.656305194,Male
0.01628,0.186733477,0.162131976,0.027547839,0.650478622,Male
0.01636,0.175891065,0.15829129,0.024487807,0.644720386,Male
0.01644,0.16555005,0.154258215,0.021750215,0.63902687,Male
0.01652,0.155702139,0.150062333,0.019304403,0.633394674,Male
0.0166,0.146337307,0.145732552,0.017121976,0.627820615,Male
0.01668,0.137444038,0.141296787,0.015176777,0.622301715,Male
0.01676,0.129009556,0.136781707,0.013444815,0.616835199,Male
0.01684,0.12102005,0.132212518,0.011904177,0.611418481,Male
0.01692,0.113460876,0.12761281,0.010534917,0.606049156,Male
0.017,0.106316754,0.123004448,0.009318939,0.600724993,Male
0.009,0.717804528,0.32700798,0.097039482,0.983661467,Female
0.00908,0.70277262,0.334990516,0.092561076,0.982081304,Female
0.00916,0.687288828,0.34248915,0.0881953,0.980369045,Female
0.00924,0.671375603,0.349444303,0.083944399,0.978516427,Female
0.00932,0.655059011,0.355798518,0.079810426,0.97651503,Female
0.0094,0.638368655,0.361497418,0.075795217,0.974356316,Female
0.00948,0.621337547,0.366490662,0.071900386,0.972031683,Female
0.00956,0.604001911,0.370732885,0.068127307,0.969532518,Female
0.00964,0.586400926,0.374184561,0.064477101,0.96685026,Female
0.00972,0.568576415,0.376812805,0.060950631,0.963976468,Female
0.0098,0.550572472,0.378592043,0.057548484,0.960902884,Female
0.00988,0.532435051,0.379504562,0.054270975,0.957621516,Female
0.00996,0.514211502,0.379540892,0.051118129,0.95412471,Female
0.01004,0.495950086,0.378700031,0.048089688,0.950405229,Female
0.01012,0.47769947,0.376989478,0.045185105,0.946456334,Female
0.0102,0.459508202,0.374425095,0.042403545,0.942271863,Female
0.01028,0.441424203,0.37103079,0.039743891,0.937846308,Female
0.01036,0.423494261,0.366838032,0.037204748,0.93317489,Female
0.01044,0.40576356,0.36188522,0.034784449,0.928253627,Female
0.01052,0.388275235,0.356216926,0.032481071,0.923079398,Female
0.0106,0.37106998,0.349883038,0.030292442,0.917650004,Female
0.01068,0.354185699,0.342937827,0.028216157,0.91196421,Female
0.01076,0.337657218,0.335438978,0.026249597,0.906021789,Female
0.01084,0.321516059,0.327446596,0.024389941,0.899823548,Female
0.01092,0.305790269,0.319022238,0.022634191,0.893371346,Female
0.011,0.290504316,0.310227974,0.020979188,0.8866681,Female
0.01108,0.275679042,0.301125514,0.019421634,0.879717781,Female
0.01116,0.261331671,0.291775404,0.017958115,0.872525392,Female
0.01124,0.247475872,0.282236323,0.016585121,0.865096943,Female
0.01132,0.234121863,0.272564471,0.015299069,0.857439411,Female
0.0114,0.221276561,0.26281306,0.01409632,0.849560685,Female
0.01148,0.208943756,0.253031917,0.012973209,0.841469511,Female
0.01156,0.197124319,0.243267181,0.011926056,0.833175423,Female
0.01164,0.185816427,0.233561098,0.010951188,0.824688665,Female
0.01172,0.175015803,0.223951908,0.01004496,0.816020114,Female
0.0118,0.164715962,0.214473812,0.009203769,0.807181193,Female
0.01188,0.154908456,0.205157002,0.008424068,0.798183784,Female
0.01196,0.14558313,0.196027758,0.007702384,0.789040138,Female
0.01204,0.136728353,0.187108594,0.007035326,0.779762788,Female
0.01212,0.128331256,0.178418436,0.006419598,0.770364457,Female
0.0122,0.120377951,0.169972838,0.005852009,0.760857976,Female
0.01228,0.112853734,0.161784214,0.00532948,0.7512562,Female
0.01236,0.105743282,0.153862083,0.004849048,0.741571929,Female
0.01244,0.09903082,0.146213322,0.004407875,0.731817839,Female
0.01252,0.092700287,0.138842423,0.004003246,0.722006412,Female
0.0126,0.086735475,0.131751737,0.003632578,0.712149873,Female
0.01268,0.081120154,0.124941718,0.003293414,0.70226014,Female
0.01276,0.075838185,0.118411155,0.00298343,0.692348773,Female
0.01284,0.070873613,0.11215739,0.002700429,0.682426934,Female
0.01292,0.066210751,0.10617652,0.002442338,0.672505347,Female
0.013,0.061834248,0.100463591,0.002207212,0.662594279,Female
0.01308,0.057729146,0.095012762,0.001993227,0.652703507,Female
0.01316,0.053880925,0.089817474,0.001798673,0.642842309,Female
0.01324,0.050275539,0.084870582,0.001621957,0.633019446,Female
0.01332,0.046899445,0.080164488,0.001461593,0.62324316,Female
0.0134,0.04373962,0.075691255,0.0013162,0.613521172,Female
0.01348,0.040783578,0.071442703,0.001184497,0.60386068,Female
0.01356,0.038019369,0.0674105,0.001065297,0.594268367,Female
0.01364,0.035435591,0.063586233,0.000957502,0.58475041,Female
0.01372,0.033021378,0.059961483,0.000860099,0.57531249,Female
0.0138,0.030766397,0.05652787,0.000772156,0.565959808,Female
0.01388,0.028660842,0.053277107,0.000692814,0.556697097,Female
0.01396,0.026695416,0.050201039,0.000621284,0.547528641,Female
0.01404,0.024861319,0.047291674,0.000556843,0.538458293,Female
0.01412,0.023150236,0.044541211,0.000498828,0.529489496,Female
0.0142,0.021554316,0.041942058,0.000446633,0.520625298,Female
0.01428,0.020066154,0.039486853,0.000399705,0.511868378,Female
0.01436,0.018678777,0.037168474,0.000357539,0.50322106,Female
0.01444,0.017385622,0.034980047,0.000319675,0.49468534,Female
0.01452,0.016180517,0.032914953,0.000285693,0.4862629,Female
0.0146,0.015057666,0.03096683,0.000255213,0.47795513,Female
0.01468,0.014011625,0.029129574,0.00022789,0.469763149,Female
0.01476,0.01303729,0.027397338,0.000203409,0.461687821,Female
0.01484,0.012129875,0.02576453,0.000181487,0.453729775,Female
0.01492,0.011284894,0.024225808,0.000161865,0.44588942,Female
0.015,0.010498151,0.022776076,0.00014431,0.438166964,Female
0.01508,0.009765714,0.021410475,0.000128613,0.43056243,Female
0.01516,0.00908391,0.020124381,0.000114584,0.423075668,Female
0.01524,0.0084493,0.018913395,0.00010205,0.415706373,Female
0.01532,0.007858673,0.017773336,9.08567E-05,0.408454097,Female
0.0154,0.007309028,0.016700234,8.08655E-05,0.401318262,Female
0.01548,0.006797562,0.015690322,7.19505E-05,0.394298173,Female
0.01556,0.006321659,0.014740025,6.3999E-05,0.387393026,Female
0.01564,0.005878878,0.013845958,5.69095E-05,0.380601923,Female
0.01572,0.005466939,0.013004913,5.05908E-05,0.373923878,Female
0.0158,0.005083717,0.012213854,4.49613E-05,0.36735783,Female
0.01588,0.004727231,0.011469905,3.99474E-05,0.360902649,Female
0.01596,0.004395633,0.01077035,3.54834E-05,0.354557144,Female
0.01604,0.004087199,0.010112619,3.15102E-05,0.348320072,Female
0.01612,0.003800325,0.009494282,2.7975E-05,0.342190142,Female
0.0162,0.003533515,0.008913046,2.48304E-05,0.336166026,Female
0.01628,0.003285375,0.008366743,2.20341E-05,0.330246359,Female
0.01636,0.003054607,0.007853327,1.95483E-05,0.32442975,Female
0.01644,0.002840002,0.007370869,1.73391E-05,0.318714782,Female
0.01652,0.002640435,0.006917545,1.53763E-05,0.313100021,Female
0.0166,0.002454856,0.006491637,1.36328E-05,0.307584016,Female
0.01668,0.002282291,0.006091524,1.20845E-05,0.302165305,Female
0.01676,0.002121831,0.005715678,1.071E-05,0.296842419,Female
0.01684,0.00197263,0.005362657,9.48995E-06,0.291613884,Female
0.01692,0.001833901,0.005031105,8.40733E-06,0.286478224,Female
0.017,0.001704911,0.004719742,7.44685E-06,0.281433963,Female
