Date/Time,Tb_dead,Model_temp
27/11/18 15:05,33,32
27/11/18 15:10,33,32
27/11/18 15:15,33,32
27/11/18 15:20,33,32
27/11/18 15:25,32.5,32.5
27/11/18 15:30,32.5,32.5
27/11/18 15:35,32.5,32.5
27/11/18 15:40,32.5,33
27/11/18 15:45,32.5,33
27/11/18 15:50,32.5,33
27/11/18 15:55,32.5,32.5
27/11/18 16:00,32.5,32.5
27/11/18 16:05,32.5,33
27/11/18 16:10,32.5,33.5
27/11/18 16:15,32.5,33.5
27/11/18 16:20,32.5,33.5
27/11/18 16:25,32,33.5
27/11/18 16:30,32,33.5
27/11/18 16:35,32,33.5
27/11/18 16:40,32,33.5
27/11/18 16:45,32,33.5
27/11/18 16:50,32,33.5
27/11/18 16:55,32,33.5
27/11/18 17:00,32,33.5
27/11/18 17:05,32,33.5
27/11/18 17:10,32,33
27/11/18 17:15,32,33
27/11/18 17:20,32,33
27/11/18 17:25,32,33
27/11/18 17:30,32,33
27/11/18 17:35,32,33
27/11/18 17:40,31.5,32.5
27/11/18 17:45,31.5,32.5
27/11/18 17:50,31.5,32.5
27/11/18 17:55,31.5,32.5
27/11/18 18:00,31.5,32.5
27/11/18 18:05,31.5,32.5
27/11/18 18:10,31.5,32.5
27/11/18 18:15,31,32.5
27/11/18 18:20,31,32.5
27/11/18 18:25,31,32
27/11/18 18:30,31,32
27/11/18 18:35,31,32.5
27/11/18 18:40,30.5,32.5
27/11/18 18:45,30.5,31
27/11/18 18:50,30.5,30
27/11/18 18:55,30,29.5
27/11/18 19:00,30,28.5
27/11/18 19:05,30,28
27/11/18 19:10,30,27.5
27/11/18 19:15,29.5,27
27/11/18 19:20,29.5,26.5
27/11/18 19:25,29.5,26
27/11/18 19:30,29,25.5
27/11/18 19:35,29,25
27/11/18 19:40,29,24.5
27/11/18 19:45,28.5,24.5
27/11/18 19:50,28.5,24.5
27/11/18 19:55,28.5,24.5
27/11/18 20:00,28,24.5
27/11/18 20:05,28,24
27/11/18 20:10,28,24
27/11/18 20:15,27.5,24
27/11/18 20:20,27.5,23.5
27/11/18 20:25,27.5,23.5
27/11/18 20:30,27.5,23.5
